time_us,event,node_id,packet_id,details_json
18843816,packet_delivered,2,5490,"{""kind"": ""voice"", ""latency_us"": 1318}"
18845000,voice_frame_generated,3,5491,"{""sequence"": 942}"
18845000,queue_depth,3,,"{""depth"": 1}"
18845000,tx_start,3,5491,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18846316,packet_delivered,3,5491,"{""kind"": ""voice"", ""latency_us"": 1318}"
18847500,voice_frame_generated,4,5492,"{""sequence"": 942}"
18847500,queue_depth,4,,"{""depth"": 1}"
18847500,tx_start,4,5492,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18848816,packet_delivered,4,5492,"{""kind"": ""voice"", ""latency_us"": 1318}"
18850000,voice_frame_generated,5,5493,"{""sequence"": 942}"
18850000,queue_depth,5,,"{""depth"": 1}"
18850000,tx_start,5,5493,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18851316,packet_delivered,5,5493,"{""kind"": ""voice"", ""latency_us"": 1318}"
18852500,voice_frame_generated,6,5494,"{""sequence"": 942}"
18852500,queue_depth,6,,"{""depth"": 1}"
18852500,tx_start,6,5494,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18853816,packet_delivered,6,5494,"{""kind"": ""voice"", ""latency_us"": 1318}"
18860000,voice_frame_generated,1,5495,"{""sequence"": 593}"
18860000,queue_depth,1,,"{""depth"": 1}"
18860000,tx_start,1,5495,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18861316,packet_delivered,1,5495,"{""kind"": ""voice"", ""latency_us"": 1318}"
18862500,voice_frame_generated,2,5496,"{""sequence"": 943}"
18862500,queue_depth,2,,"{""depth"": 1}"
18862500,tx_start,2,5496,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18863816,packet_delivered,2,5496,"{""kind"": ""voice"", ""latency_us"": 1318}"
18865000,voice_frame_generated,3,5497,"{""sequence"": 943}"
