time_us,event,node_id,packet_id,details_json
47553816,packet_delivered,6,14744,"{""kind"": ""voice"", ""latency_us"": 1318}"
47560000,voice_frame_generated,1,14745,"{""sequence"": 2378}"
47560000,queue_depth,1,,"{""depth"": 1}"
47560000,tx_start,1,14745,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47561316,packet_delivered,1,14745,"{""kind"": ""voice"", ""latency_us"": 1318}"
47562500,voice_frame_generated,2,14746,"{""sequence"": 2378}"
47562500,queue_depth,2,,"{""depth"": 1}"
47562500,tx_start,2,14746,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47563816,packet_delivered,2,14746,"{""kind"": ""voice"", ""latency_us"": 1318}"
47565000,voice_frame_generated,3,14747,"{""sequence"": 2378}"
47565000,queue_depth,3,,"{""depth"": 1}"
47565000,tx_start,3,14747,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47566316,packet_delivered,3,14747,"{""kind"": ""voice"", ""latency_us"": 1318}"
47567500,voice_frame_generated,4,14748,"{""sequence"": 2378}"
47567500,queue_depth,4,,"{""depth"": 1}"
47567500,tx_start,4,14748,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47568816,packet_delivered,4,14748,"{""kind"": ""voice"", ""latency_us"": 1318}"
47570000,voice_frame_generated,5,14749,"{""sequence"": 2378}"
47570000,queue_depth,5,,"{""depth"": 1}"
47570000,tx_start,5,14749,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47571316,packet_delivered,5,14749,"{""kind"": ""voice"", ""latency_us"": 1318}"
47572500,voice_frame_generated,6,14750,"{""sequence"": 2378}"
47572500,queue_depth,6,,"{""depth"": 1}"
47572500,tx_start,6,14750,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47573816,packet_delivered,6,14750,"{""kind"": ""voice"", ""latency_us"": 1318}"
47580000,voice_frame_generated,1,14751,"{""sequence"": 2379}"
47580000,queue_depth,1,,"{""depth"": 1}"
47580000,tx_start,1,14751,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47581316,packet_delivered,1,14751,"{""kind"": ""voice"", ""latency_us"": 1318}"
47582500,voice_frame_generated,2,14752,"{""sequence"": 2379}"
47582500,queue_depth,2,,"{""depth"": 1}"
