time_us,event,node_id,packet_id,details_json
422000,collision_detected,5,131,"{""with_packet_id"": 129}"
422000,collision_detected,5,131,"{""with_packet_id"": 130}"
422000,tx_start,5,131,"{""airtime_us"": 1316}"
422316,packet_collided,3,129,{}
422500,voice_frame_generated,6,132,"{""sequence"": 21}"
422500,collision_detected,6,132,"{""with_packet_id"": 130}"
422500,collision_detected,6,132,"{""with_packet_id"": 131}"
422500,tx_start,6,132,"{""airtime_us"": 1316}"
422816,packet_collided,4,130,{}
423316,packet_collided,5,131,{}
423816,packet_collided,6,132,{}
440000,voice_frame_generated,1,133,"{""sequence"": 22}"
440000,tx_start,1,133,"{""airtime_us"": 1316}"
440500,voice_frame_generated,2,134,"{""sequence"": 22}"
440500,collision_detected,2,134,"{""with_packet_id"": 133}"
440500,tx_start,2,134,"{""airtime_us"": 1316}"
441000,voice_frame_generated,3,135,"{""sequence"": 22}"
441000,collision_detected,3,135,"{""with_packet_id"": 133}"
441000,collision_detected,3,135,"{""with_packet_id"": 134}"
441000,tx_start,3,135,"{""airtime_us"": 1316}"
441316,packet_collided,1,133,{}
441500,voice_frame_generated,4,136,"{""sequence"": 22}"
441500,collision_detected,4,136,"{""with_packet_id"": 134}"
441500,collision_detected,4,136,"{""with_packet_id"": 135}"
441500,tx_start,4,136,"{""airtime_us"": 1316}"
441816,packet_collided,2,134,{}
442000,voice_frame_generated,5,137,"{""sequence"": 22}"
442000,collision_detected,5,137,"{""with_packet_id"": 135}"
442000,collision_detected,5,137,"{""with_packet_id"": 136}"
442000,tx_start,5,137,"{""airtime_us"": 1316}"
442316,packet_collided,3,135,{}
442500,voice_frame_generated,6,138,"{""sequence"": 22}"
442500,collision_detected,6,138,"{""with_packet_id"": 136}"
442500,collision_detected,6,138,"{""with_packet_id"": 137}"
442500,tx_start,6,138,"{""airtime_us"": 1316}"
442816,packet_collided,4,136,{}
443316,packet_collided,5,137,{}
443816,packet_collided,6,138,{}
460000,voice_frame_generated,1,139,"{""sequence"": 23}"
460000,tx_start,1,139,"{""airtime_us"": 1316}"
460500,voice_frame_generated,2,140,"{""sequence"": 23}"
460500,collision_detected,2,140,"{""with_packet_id"": 139}"
460500,tx_start,2,140,"{""airtime_us"": 1316}"
461000,voice_frame_generated,3,141,"{""sequence"": 23}"
461000,collision_detected,3,141,"{""with_packet_id"": 139}"
461000,collision_detected,3,141,"{""with_packet_id"": 140}"
461000,tx_start,3,141,"{""airtime_us"": 1316}"
461316,packet_collided,1,139,{}
461500,voice_frame_generated,4,142,"{""sequence"": 23}"
461500,collision_detected,4,142,"{""with_packet_id"": 140}"
461500,collision_detected,4,142,"{""with_packet_id"": 141}"
461500,tx_start,4,142,"{""airtime_us"": 1316}"
461816,packet_collided,2,140,{}
462000,voice_frame_generated,5,143,"{""sequence"": 23}"
462000,collision_detected,5,143,"{""with_packet_id"": 141}"
462000,collision_detected,5,143,"{""with_packet_id"": 142}"
462000,tx_start,5,143,"{""airtime_us"": 1316}"
462316,packet_collided,3,141,{}
462500,voice_frame_generated,6,144,"{""sequence"": 23}"
462500,collision_detected,6,144,"{""with_packet_id"": 142}"
462500,collision_detected,6,144,"{""with_packet_id"": 143}"
462500,tx_start,6,144,"{""airtime_us"": 1316}"
462816,packet_collided,4,142,{}
463316,packet_collided,5,143,{}
463816,packet_collided,6,144,{}
480000,voice_frame_generated,1,145,"{""sequence"": 24}"
480000,tx_start,1,145,"{""airtime_us"": 1316}"
480500,voice_frame_generated,2,146,"{""sequence"": 24}"
480500,collision_detected,2,146,"{""with_packet_id"": 145}"
480500,tx_start,2,146,"{""airtime_us"": 1316}"
481000,voice_frame_generated,3,147,"{""sequence"": 24}"
481000,collision_detected,3,147,"{""with_packet_id"": 145}"
481000,collision_detected,3,147,"{""with_packet_id"": 146}"
481000,tx_start,3,147,"{""airtime_us"": 1316}"
481316,packet_collided,1,145,{}
481500,voice_frame_generated,4,148,"{""sequence"": 24}"
481500,collision_detected,4,148,"{""with_packet_id"": 146}"
481500,collision_detected,4,148,"{""with_packet_id"": 147}"
481500,tx_start,4,148,"{""airtime_us"": 1316}"
481816,packet_collided,2,146,{}
482000,voice_frame_generated,5,149,"{""sequence"": 24}"
482000,collision_detected,5,149,"{""with_packet_id"": 147}"
482000,collision_detected,5,149,"{""with_packet_id"": 148}"
482000,tx_start,5,149,"{""airtime_us"": 1316}"
482316,packet_collided,3,147,{}
482500,voice_frame_generated,6,150,"{""sequence"": 24}"
482500,collision_detected,6,150,"{""with_packet_id"": 148}"
482500,collision_detected,6,150,"{""with_packet_id"": 149}"
482500,tx_start,6,150,"{""airtime_us"": 1316}"
482816,packet_collided,4,148,{}
483316,packet_collided,5,149,{}
483816,packet_collided,6,150,{}
500000,voice_frame_generated,1,151,"{""sequence"": 25}"
500000,tx_start,1,151,"{""airtime_us"": 1316}"
500500,voice_frame_generated,2,152,"{""sequence"": 25}"
500500,collision_detected,2,152,"{""with_packet_id"": 151}"
